,,,,Calvin College,,,,,,,,,,,,
"Enrollment by Major/Academic Program, 2010-2014",,,,,,,,,,,,,,,,
,,,,,,,,,Table 3a,,,,,,,
Major/Program,2010,% of,2011,% of,2012,% of,2013,% of,2014,% of,,,,,,
by Departments (1),Fall,Total,Fall,Total,Fall,Total,Fall,Total,Fall,Total,,,,,,
Art and Art History,97,2.1%,77,1.7%,74,1.6%,79,1.7%,93,2.0%,,,,,,
Art,88,1.9%,68,1.5%,66,1.4%,66,1.4%,68,1.5%,,,,,,
Art History,9,0.2%,9,0.2%,8,0.2%,13,0.3%,9,0.2%,,,,,,
(10),,,,,,,,,,,,,,,,
Graphic Design,,,,,,,,,16,0.3%,,,,,,
Asian Studies,15,0.3%,15,0.3%,12,0.3%,14,0.3%,7,0.2%,,,,,,
Biology,258,5.6%,274,6.0%,287,6.3%,258,5.6%,224,4.9%,,,,,,
Biology,230,5.0%,240,5.3%,258,5.7%,233,5.0%,206,4.5%,,,,,,
Biotechnology,16,0.3%,17,0.4%,14,0.3%,8,0.2%,6,0.1%,,,,,,
Occupational Therapy,10,0.2%,16,0.4%,15,0.3%,17,0.4%,12,0.3%,,,,,,
Group Science Major,2,0.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,,,,,,
Business,498,10.9%,490,10.8%,518,11.4%,511,11.1%,514,11.1%,,,,,,
Accountancy,112,2.4%,120,2.6%,125,2.7%,124,2.7%,121,2.6%,,,,,,
Business,308,6.7%,311,6.8%,348,7.6%,335,7.3%,340,7.4%,,,,,,
Business/Math Group,3,0.1%,3,0.1%,2,0.0%,3,0.1%,2,0.0%,,,,,,
(3),,,,,,,,,,,,,,,,
Business/CAS Group,66,1.4%,27,0.6%,5,0.1%,2,0.0%,2,0.0%,,,,,,
(3),,,,,,,,,,,,,,,,
Organizational Communication,8,0.2%,28,0.6%,37,0.8%,47,1.0%,49,1.1%,,,,,,
Social Science Group,1,0.0%,1,0.0%,1,0.0%,0,0.0%,0,0.0%,,,,,,
Chemistry & Biochemistry,104,2.3%,112,2.5%,135,3.0%,164,3.6%,158,3.4%,,,,,,
Chemistry,44,1.0%,41,0.9%,48,1.1%,44,1.0%,26,0.6%,,,,,,
Biochemistry,60,1.3%,71,1.6%,87,1.9%,120,2.6%,132,2.9%,,,,,,
Classical Languages,31,0.7%,20,0.4%,21,0.5%,18,0.4%,19,0.4%,,,,,,
Classical Studies,8,0.2%,8,0.2%,9,0.2%,6,0.1%,8,0.2%,,,,,,
Classical Languages,7,0.2%,4,0.1%,5,0.1%,6,0.1%,5,0.1%,,,,,,
Greek,10,0.2%,2,0.0%,3,0.1%,2,0.0%,2,0.0%,,,,,,
Latin,6,0.1%,6,0.1%,4,0.1%,4,0.1%,4,0.1%,,,,,,
Communication Arts &Sciences,327,7.1%,336,7.4%,388,8.5%,400,8.7%,383,8.3%,,,,,,
Communication Arts & Sciences,11,0.2%,8,0.2%,8,0.2%,13,0.3%,11,0.2%,,,,,,
Speech Pathology & Audiology,98,2.1%,104,2.3%,155,3.4%,156,3.4%,148,3.2%,,,,,,
(4),,,,,,,,,,,,,,,,
Speech Pathology MA Program,,,25,0.6%,25,0.5%,25,0.5%,29,0.6%,,,,,,
(5),,,,,,,,,,,,,,,,
Film & Media Studies,9,0.2%,12,0.3%,17,0.4%,11,0.2%,5,0.1%,,,,,,
(5),,,,,,,,,,,,,,,,
Film & Media,,,,,,,22,0.5%,35,0.8%,,,,,,
(5),,,,,,,,,,,,,,,,
Film Studies,14,0.3%,7,0.2%,4,0.1%,1,0.0%,0,0.0%,,,,,,
Media Production,59,1.3%,62,1.4%,67,1.5%,39,0.8%,16,0.3%,,,,,,
(5),,,,,,,,,,,,,,,,
Media Studies,10,0.2%,3,0.1%,1,0.0%,0,0.0%,0,0.0%,,,,,,
(2),,,,,,,,,,,,,,,,
Rhetoric,24,0.5%,8,0.2%,1,0.0%,0,0.0%,0,0.0%,,,,,,
(2),,,,,,,,,,,,,,,,
Strategic Communication,3,0.1%,26,0.6%,47,1.0%,53,1.1%,62,1.3%,,,,,,
Theatre,17,0.4%,20,0.4%,12,0.3%,17,0.4%,14,0.3%,,,,,,
(3),,,,,,,,,,,,,,,,
Business/CAS Group,66,1.4%,27,0.6%,5,0.1%,2,0.0%,2,0.0%,,,,,,
(3),,,,,,,,,,,,,,,,
Organizational Communication,8,0.2%,28,0.6%,37,0.8%,47,1.0%,49,1.1%,,,,,,
Digital Communication Group,8,0.2%,6,0.1%,9,0.2%,14,0.3%,12,0.3%,,,,,,
Computer Science,81,1.8%,80,1.8%,109,2.4%,127,2.8%,138,3.0%,,,,,,
Computer Science,53,1.2%,53,1.2%,79,1.7%,94,2.0%,107,2.3%,,,,,,
Digital Communication Group,8,0.2%,6,0.1%,9,0.2%,14,0.3%,12,0.3%,,,,,,
Information Systems,20,0.4%,21,0.5%,21,0.5%,19,0.4%,19,0.4%,,,,,,
Economics,37,0.8%,34,0.7%,36,0.8%,36,0.8%,48,1.0%,,,,,,
Economics,36,0.8%,34,0.7%,36,0.8%,36,0.8%,48,1.0%,,,,,,
Economics/Math Group,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,,,,,
Education,650,14.2%,618,13.6%,527,11.6%,532,11.5%,551,12.0%,,,,,,
Elementary Education,268,5.8%,257,5.7%,239,5.2%,247,5.4%,253,5.5%,,,,,,
(6),,,,,,,,,,,,,,,,
Special Education,64,1.4%,57,1.3%,61,1.3%,60,1.3%,62,1.3%,,,,,,
(7),,,,,,,,,,,,,,,,
Secondary Education,310,6.8%,282,6.2%,234,5.1%,234,5.1%,228,4.9%,,,,,,
Graduate Education Programs,72,1.6%,79,1.7%,54,1.2%,51,1.1%,70,1.5%,,,,,,
Engineering,364,7.9%,356,7.8%,372,8.2%,419,9.1%,438,9.5%,,,,,,
Engineering (Gen),214,4.7%,132,2.9%,112,2.5%,130,2.8%,118,2.6%,,,,,,
Chemical,24,0.5%,33,0.7%,51,1.1%,51,1.1%,54,1.2%,,,,,,
Civil & Environmental,40,0.9%,58,1.3%,63,1.4%,67,1.5%,71,1.5%,,,,,,
Electrical & Computer,28,0.6%,46,1.0%,47,1.0%,54,1.2%,70,1.5%,,,,,,
Mechanical,58,1.3%,87,1.9%,99,2.2%,117,2.5%,125,2.7%,,,,,,
English,188,4.1%,192,4.2%,202,4.4%,178,3.9%,180,3.9%,,,,,,
(8),,,,,,,,,,,,,,,,
English,,,130,2.9%,67,1.5%,47,1.0%,42,0.9%,,,,,,
Linguistics,,,8,0.2%,20,0.4%,24,0.5%,21,0.5%,,,,,,
Literature,,,22,0.5%,49,1.1%,44,1.0%,47,1.0%,,,,,,
Writing,,,32,0.7%,66,1.4%,63,1.4%,70,1.5%,,,,,,
Major/Program,,2010,% of,2011,% of,2012,% of,2013,% of,2014,% of,,,,,
by Departments (1),,Fall,Total,Fall,Total,Fall,Total,Fall,Total,Fall,Total,,,,,
French,,28,0.6%,24,0.5%,25,0.5%,27,0.6%,35,0.8%,,,,,
"Geology, Geography, Env Studies",,43,0.9%,60,1.3%,72,1.6%,70,1.5%,82,1.8%,,,,,
Environmental Geology,,1,0.0%,1,0.0%,3,0.1%,2,0.0%,2,0.0%,,,,,
Environmental Science,,15,0.3%,18,0.4%,19,0.4%,9,0.2%,18,0.4%,,,,,
Environmental Studies,,,11,0.2%,19,0.4%,28,0.6%,25,0.5%,,,,,,
Geology,,12,0.3%,13,0.3%,14,0.3%,19,0.4%,22,0.5%,,,,,
Geography,,15,0.3%,17,0.4%,17,0.4%,12,0.3%,15,0.3%,,,,,
Germanic and Asian Languages,,54,1.2%,60,1.3%,58,1.3%,60,1.3%,65,1.4%,,,,,
German/Dutch,,15,0.3%,19,0.4%,18,0.4%,16,0.3%,17,0.4%,,,,,
Chinese,,15,0.3%,22,0.5%,20,0.4%,22,0.5%,30,0.7%,,,,,
Japanese,,24,0.5%,19,0.4%,20,0.4%,22,0.5%,18,0.4%,,,,,
History,,96,2.1%,90,2.0%,89,2.0%,73,1.6%,80,1.7%,,,,,
Interdisciplinary,,40,0.9%,34,0.7%,20,0.4%,25,0.5%,16,0.3%,,,,,
Int'l Development Studies,,76,1.7%,79,1.7%,68,1.5%,74,1.6%,76,1.6%,,,,,
Kinesiology,,157,3.4%,179,3.9%,200,4.4%,240,5.2%,248,5.4%,,,,,
Kinesiology,,,55,1.2%,130,2.8%,184,4.0%,190,4.1%,,,,,,
,,(9),,,,,,,,,,,,,,
Physical Education,,131,2.9%,98,2.2%,39,0.9%,12,0.3%,0,0.0%,,,,,
Recreation,,26,0.6%,26,0.6%,31,0.7%,44,1.0%,58,1.3%,,,,,
Mathematics & Statistics,,82,1.8%,77,1.7%,82,1.8%,86,1.9%,83,1.8%,,,,,
Music,,47,1.0%,55,1.2%,59,1.3%,63,1.4%,70,1.5%,,,,,
Music,,41,0.9%,44,1.0%,46,1.0%,39,0.8%,46,1.0%,,,,,
Music Education,,6,0.1%,11,0.2%,13,0.3%,24,0.5%,24,0.5%,,,,,
Nursing,,280,6.1%,287,6.3%,272,6.0%,293,6.3%,287,6.2%,,,,,
Philosophy,,78,1.7%,65,1.4%,74,1.6%,64,1.4%,49,1.1%,,,,,
Physics,,31,0.7%,32,0.7%,30,0.7%,23,0.5%,20,0.4%,,,,,
Political Science,,123,2.7%,132,2.9%,111,2.4%,101,2.2%,95,2.1%,,,,,
Political Science,,67,1.5%,63,1.4%,54,1.2%,44,1.0%,40,0.9%,,,,,
International Relations,,56,1.2%,69,1.5%,57,1.2%,57,1.2%,55,1.2%,,,,,
Psychology,,225,4.9%,226,5.0%,217,4.8%,211,4.6%,217,4.7%,,,,,
Public Health (new in 2012),,,,,9,0.2%,28,0.6%,34,0.7%,,,,,,
Religion,,60,1.3%,56,1.2%,49,1.1%,42,0.9%,37,0.8%,,,,,
Sociology & Social Work,,152,3.3%,162,3.6%,143,3.1%,130,2.8%,155,3.4%,,,,,
Sociology,,48,1.0%,49,1.1%,43,0.9%,31,0.7%,31,0.7%,,,,,
Social Work,,104,2.3%,113,2.5%,100,2.2%,99,2.1%,124,2.7%,,,,,
Spanish,,136,3.0%,149,3.3%,138,3.0%,123,2.7%,126,2.7%,,,,,
Undecided,,308,6.7%,231,5.1%,216,4.7%,210,4.5%,145,3.1%,,,,,
Total,,4584,4541,,4562,,4616,,4610,,,,,,,
Notes:,(1),Double Majors and Secondary Education students are counted twice. Programs with no majors are excluded.,,,,,,,,,,,,,,
,(2),Rhetoric was replaced by Strategic Communication in 2010-2011.,,,,,,,,,,,,,,
,(3),"In 2010-2011, Business/CAS Group was replaced by Organizational Communication.",,,,,,,,,,,,,,
,(4),A 5-Year Master's Degree Program in Speech Pathology began in 2011.,,,,,,,,,,,,,,
,(5),"In 2010-11, Film Studies and Media Studies were combined into Film & Media Studies.",,,,,,,,,,,,,,
,,"In 2013-14, the Film and Media Studies major and Media Production were combined into one major--Film and Media.",,,,,,,,,,,,,,
,(6),"Special Education Students are also counted in the Elementary Education line, but only counted once in the Education total.",,,,,,,,,,,,,,
,(7),Students obtaining K-12 endorsements are included in the Secondary Education counts.,,,,,,,,,,,,,,
,(8),"The English Major was expanded to include three majors in 2011-12, while retaining the English major for Education students.",,,,,,,,,,,,,,
,(9) The Physical Education major was converted into the Kinesiology Major in 2011-2012,,,,,,,,,,,,,,,
,(10) Graphic Design was offered as a,new major in the 2014-2015 year.,,,,,,,,,,,,,,
,,"Day 10 Enrollment by Pre-Professional Programs, 2010-2014",,,,,,,,,,,,,,
,,,,,,,,,Table 3b,,,,,,,
Program of Specialization,,2010 Fall,2011 Fall,,2012 Fall,,2013 Fall,,2014 Fall,,,,,,,
Pre-Architecture,,47,31,,18,,16,,16,,,,,,,
Pre-Dentistry,,19,20,,17,,13,,14,,,,,,,
Pre-Law,,75,76,,56,,61,,61,,,,,,,
Pre-Medicine (also includes Pre-Vet),,225,225,,236,,267,,256,,,,,,,
Pre-Occupational Therapy,,,,,6,,18,,36,,,,,,,
Pre-Optometry,,8,6,,7,,6,,1,,,,,,,
Pre-Pharmacy,,11,16,,17,,18,,14,,,,,,,
Pre-Physical Therapy,,51,55,,60,,59,,44,,,,,,,
Pre-Physician's Assisstant,,20,27,,24,,31,,27,,,,,,,
Pre-Seminary,,34,25,,24,,26,,15,,,,,,,
Total,,490,481,,465,,515,,484,,,,,,,
,,,Calvin College,,,,,,,,,,,,,
,,2014 Fall Day 10,,,,,,,,,,,,,,
"Merit and Diversity Scholarship Recipients, 2010-2014",,,,,,,,,,,,,,,,
FTIACs (First Time Students),,,,,,,,,Table 4a,,,,,,,
,2010-11,,2011-12,,2012-13,,2013-14,,2014-15,,,,,,,
Scholarship,#,%,#,%,#,%,#,%,#,%,,,,,,
National Merit,17,1.8%,11,1.1%,23,2.4%,12,1.2%,9,0.9%,,,,,,
Trustee,36,3.9%,51,5.3%,43,4.4%,34,3.4%,53,5.6%,,,,,,
Presidential,101,10.8%,105,10.9%,177,18.1%,194,19.3%,168,17.7%,,,,,,
Dean's,220,23.5%,189,19.7%,201,20.6%,181,18.0%,185,19.5%,,,,,,
Faculty Honors,139,14.9%,133,13.8%,188,19.2%,205,20.4%,189,19.9%,,,,,,
Honors,180,19.3%,175,18.2%,163,16.7%,179,17.8%,159,16.7%,,,,,,
Knollcrest,34,3.6%,47,4.9%,50,5.1%,53,5.3%,52,5.5%,,,,,,
Total with Merit Scholarship,727,77.8%,711,74.0%,845,86.5%,858,85.3%,815,85.7%,,,,,,
Diversity Awards,,,,,,,,,,,,,,,,
Mosaic*,63,6.7%,94,9.8%,139,14.2%,181,18.0%,177,18.6%,,,,,,
Multicultural*,36,3.9%,57,5.9%,0,,0,,0,,,,,,,
Entrada,31,3.3%,43,4.5%,43,4.4%,39,3.9%,47,4.9%,,,,,,
Total with Diversity Award,105,11.2%,157,16.3%,140,14.3%,182,18.1%,177,18.6%,,,,,,
Total FTIACs,935,100%,961,100%,977,100%,1006,100%,951,100%,,,,,,
"*The Multicultural and Mosaic were merged into one Diversity Scholarship, with all getting the Mosaic, beginning in 2012.",,,,,,,,,,,,,,,,
All Traditional Undergraduates,,,,,,,,,Table 4b,,,,,,,
,2010-11,,2011-12,,2012-13,,2013-14,,2014-15,,,,,,,
Scholarship,#,%,#,%,#,%,#,%,#,%,,,,,,
National Merit,73,1.9%,61,1.6%,73,1.9%,63,1.6%,57,1.5%,,,,,,
Trustee,120,3.1%,139,3.7%,150,3.9%,147,3.8%,159,4.2%,,,,,,
Presidential,458,11.9%,482,12.7%,573,15.0%,598,15.4%,586,15.4%,,,,,,
Dean's,507,13.2%,516,13.6%,563,14.7%,591,15.2%,610,16.0%,,,,,,
Faculty Honors,399,10.4%,408,10.8%,461,12.0%,493,12.7%,494,12.9%,,,,,,
Honors,434,11.3%,444,11.7%,452,11.8%,482,12.4%,430,11.3%,,,,,,
Knollcrest,392,10.2%,388,10.2%,369,9.6%,355,9.1%,357,9.4%,,,,,,
Total with Merit Scholarship,2383,62.2%,2438,64.4%,2641,69.0%,2729,70.2%,2693,70.6%,,,,,,
Diversity Awards,,,,,,,,,,,,,,,,
Mosaic*,197,5.1%,234,6.2%,326,8.5%,436,11.2%,493,12.9%,,,,,,
Multicultural*,193,5.0%,200,5.3%,149,3.9%,88,2.3%,52,1.4%,,,,,,
Entrada,117,3.1%,121,3.2%,140,3.7%,132,3.4%,143,3.7%,,,,,,
Total with Diversity Award,419,10.9%,457,12.1%,490,12.8%,541,13.9%,553,14.5%,,,,,,
Total Traditional UGs,3834,100%,3788,100%,3829,100%,3887,100%,3816,100%,,,,,,
"*The Multicultural and Mosaic were merged into one Diversity Scholarship, with only the Mosaic awarded to incoming FTIACs in 2012.",,,,,,,,,,,,,,,,
,Calvin College,,,,,,,,,,,,,,,
,2014 Fall Day 10,,,,,,,,,,,,,,,
,Residence by State and Region,,,,,,,,,,,,,,,
,,,,,Table 5a,,,,,,,,,,,
,FTIACs,,Traditional UGs,,All Students,,,,,,,,,,,
Residence,#,%,#,%,#,%,,,,,,,,,,
Michigan,463,48.7%,1916,50.2%,2048,51.3%,,,,,,,,,,
Great Lakes States,177,18.6%,671,17.6%,677,17.0%,,,,,,,,,,
Illinois,115,12.1%,405,10.6%,407,10.2%,,,,,,,,,,
Indiana,26,2.7%,110,2.9%,110,2.8%,,,,,,,,,,
Ohio,28,2.9%,100,2.6%,104,2.6%,,,,,,,,,,
Wisconsin,8,0.8%,56,1.5%,56,1.4%,,,,,,,,,,
Other Midwest U.S.,30,3.2%,126,3.3%,128,3.2%,,,,,,,,,,
Iowa,9,0.9%,35,0.9%,36,0.9%,,,,,,,,,,
Kansas,1,0.1%,10,0.3%,11,0.3%,,,,,,,,,,
Minnesota,13,1.4%,56,1.5%,56,1.4%,,,,,,,,,,
Missouri,3,0.3%,18,0.5%,18,0.5%,,,,,,,,,,
Nebraska,1,0.1%,3,0.1%,3,0.1%,,,,,,,,,,
North Dakota,3,0.3%,3,0.1%,3,0.1%,,,,,,,,,,
South Dakota,-,-,1,0.0%,1,0.0%,,,,,,,,,,
Eastern U.S.,53,5.6%,206,5.4%,210,5.3%,,,,,,,,,,
Connecticut,5,0.5%,7,0.2%,8,0.2%,,,,,,,,,,
Delaware,-,-,-,-,-,-,,,,,,,,,,
Maine,3,0.3%,6,0.2%,6,0.2%,,,,,,,,,,
Massachusetts,15,1.6%,37,1.0%,37,0.9%,,,,,,,,,,
New Hampshire,1,0.1%,9,0.2%,10,0.3%,,,,,,,,,,
New Jersey,17,1.8%,56,1.5%,56,1.4%,,,,,,,,,,
New York,4,0.4%,43,1.1%,44,1.1%,,,,,,,,,,
Pennsylvania,8,0.8%,42,1.1%,43,1.1%,,,,,,,,,,
Rhode Island,-,-,2,0.1%,2,0.1%,,,,,,,,,,
Vermont,-,-,4,0.1%,4,0.1%,,,,,,,,,,
Western U.S.,75,7.9%,309,8.1%,313,7.8%,,,,,,,,,,
Alaska,2,0.2%,4,0.1%,4,0.1%,,,,,,,,,,
Arizona,4,0.4%,13,0.3%,13,0.3%,,,,,,,,,,
California,37,3.9%,149,3.9%,152,3.8%,,,,,,,,,,
Colorado,10,1.1%,50,1.3%,50,1.3%,,,,,,,,,,
Hawaii,1,0.1%,2,0.1%,2,0.1%,,,,,,,,,,
Idaho,-,-,2,0.1%,2,0.1%,,,,,,,,,,
Montana,-,-,3,0.1%,3,0.1%,,,,,,,,,,
Nevada,-,-,3,0.1%,3,0.1%,,,,,,,,,,
New Mexico,3,0.3%,12,0.3%,12,0.3%,,,,,,,,,,
Oregon,5,0.5%,15,0.4%,15,0.4%,,,,,,,,,,
Utah,-,-,3,0.1%,3,0.1%,,,,,,,,,,
Washington,13,1.4%,52,1.4%,53,1.3%,,,,,,,,,,
Wyoming,-,-,1,0.0%,1,0.0%,,,,,,,,,,
Southern U.S.,32,3.4%,130,3.4%,133,3.3%,,,,,,,,,,
Alabama,-,-,3,0.1%,3,0.1%,,,,,,,,,,
Arkansas,1,0.1%,1,0.0%,1,0.0%,,,,,,,,,,
District of Columbia,-,-,-,-,-,-,,,,,,,,,,
Florida,6,0.6%,28,0.7%,30,0.8%,,,,,,,,,,
Georgia,-,-,6,0.2%,6,0.2%,,,,,,,,,,
Kentucky,1,0.1%,8,0.2%,8,0.2%,,,,,,,,,,
Louisiana,1,0.1%,1,0.0%,1,0.0%,,,,,,,,,,
Maryland,6,0.6%,24,0.6%,24,0.6%,,,,,,,,,,
Mississippi,-,-,1,0.0%,1,0.0%,,,,,,,,,,
North Carolina,4,0.4%,12,0.3%,13,0.3%,,,,,,,,,,
Oklahoma,-,-,-,-,-,-,,,,,,,,,,
South Carolina,-,-,2,0.1%,2,0.1%,,,,,,,,,,
Tennessee,3,0.3%,6,0.2%,6,0.2%,,,,,,,,,,
Texas,5,0.5%,19,0.5%,19,0.5%,,,,,,,,,,
Virginia,5,0.5%,19,0.5%,19,0.5%,,,,,,,,,,
West Virginia,-,-,-,-,-,-,,,,,,,,,,
Territories/Other,1,0.1%,5,0.1%,5,0.1%,,,,,,,,,,
United States Total,831,87.4%,3363,88.1%,3514,88.0%,,,,,,,,,,
